SMILES,ACTIVITY
CC[C@H](C1=CC=CC=C1)C(=O)NC2=CC(=C(C=C2)N3CCCCC3)C(=O)NC4CC4,0.90969104
C1CCN(CC1)C2=C(C=C(C=C2)NC(=O)[C@H](C3=CC=CC=C3)Cl)C(=O)NC4CC4,0.9074099
C1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C=CC3=CC=CC=C3)C(=O)NC4CC4,0.91953444
C1CCN(CC1)C2=C(C=C(C=C2)NC(=O)/C=C/C3=CC=CC=C3)C(=O)NC4CC4,0.91003895
CC1CCN(CC1)C2=C(C=C(C=C2)NC(=O)[C@@H](C3=CC=CC=C3)Cl)C(=O)NC4CC4,0.9030531
CC1CCN(CC1)C2=C(C=C(C=C2)NC(=O)[C@H](C3=CC=CC=C3)Cl)C(=O)NC4CC4,0.910851
C1CCN(CC1)C2=C(C=C(C=C2)NC(=O)NC3=CC=CC=C3)C(=O)NCC4=CC=CC=C4,0.96808404
CC1CCN(CC1)C2=C(C=C(C=C2)NC(=O)NC3=CC=CC=C3)C(=O)NC4CC4,0.9109219
CC1CCN(CC1)C2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)C)C(=O)NC4CC4,0.9011316
C1CCC2=NC3=C(N2CC1)C=CC(=C3)NC(=O)C4=CC(=CC=C4)OC5=CC=CC=C5,0.9163088
