子结构 SMILES,出现次数,出现行号
O=[CH:1]Nc1cc[cH:1][cH:1]c1,10,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9"
c1c[cH:1][cH:1]cc1N[CH2:1][CH3:1],7,"0, 1, 2, 3, 4, 5, 9"
c1cc([NH2:1])[cH:1]cc1N[CH3:1],6,"0, 1, 2, 3, 5, 7"
O=[CH:1]c1cc([NH2:1])cc[cH:1]1,6,"1, 2, 3, 4, 5, 8"
c1c[cH:1][cH:1]cc1N[CH2:1][NH2:1],3,"6, 7, 8"
c1ccc(N[CH2:1][NH2:1])cc1,2,"6, 7"
c1c[cH:1]c([CH3:1])cc1N[CH3:1],2,"4, 5"
O=[CH:1]Nc1ccccc1,2,"6, 7"
C(=C[CH3:1])c1ccccc1,1,2
C(=C/[CH3:1])\c1ccccc1,1,3
Cl[CH3:1],1,1
Cl[CH3:1],1,4
O=[CH:1][CH2:1]c1ccccc1,1,0
c1ccc(C([CH3:1])[CH3:1])cc1,1,0
c1c[cH:1]cc2n[cH:1][nH:1]c12,1,9
c1cc([CH2:1]N[CH3:1])c[cH:1]c1,1,9
c1cc([OH:1])cc([CH2:1][NH2:1])c1,1,9
Cc1ccc(N[CH3:1])cc1,1,8
